text,likes,platform,num_palabras
يسعدها شوشو القمر ما شاء الله 🩷🩷 احلى صبية واحلى خريجة عقبال الجامعة يا قلبي 🤍🤍,1.0,Instagram,16
Absolutely agree 🔥,1.0,Instagram,3
Awesome 😍👏🔥,1.0,Instagram,2
Always! Go teamwork 🙌,1.0,Instagram,4
Great pic,1.0,Instagram,2
Keren,1.0,Instagram,1
🤍🤍🤍,1.0,Instagram,1
🤍🤍,1.0,Instagram,1
🙌🙌🙌 parabéns,1.0,Instagram,2
👏👏👏👏🙌,1.0,Instagram,1
Dios es el Dueño y Señor de todas estas lindas bendiciones un abrazo,1.0,Instagram,13
Que o Senhor Jesus continue os abençoando ❤️🙌🔥,1.0,Instagram,8
👏👏👏🙌,1.0,Instagram,1
Hm,1.0,Instagram,1
معلومات مفيده 🔥,1.0,Instagram,3
🔥🔥🔥😍,1.0,Instagram,1
❤️,1.0,Instagram,1
"AmAdinhas, que viagem “EXPLENDIDE”! AMMAN “citadelle” @caravanaperegrinos",1.0,Instagram,7
This is epic 👏🔥,2.0,Instagram,4
فناننن❤️ حبيت❤️,2.0,Instagram,2
👏👏,1.0,Instagram,1
👏👏👏,1.0,Instagram,1
👏,1.0,Instagram,1
😍😍😍😍😍😍😍😍,1.0,Instagram,1
Que sonho 🤍,1.0,Instagram,3
رائعه جدا 👏👏,1.0,Instagram,3
@hamzeqaderi,0.0,Instagram,1
Cool🔥,1.0,Instagram,1
@sudzud @coffeeeebabe,3.0,Instagram,2
+1000,1.0,Instagram,1
@dr.ak_photography.. The ride today was different.. (Beep beep-road rider 🚴‍♂️🌪️) is joining again 😂,2.0,Instagram,14
That is awesome. Have fun,1.0,Instagram,5
🙌🙌🙌🙌🙌,1.0,Instagram,1
💕💕💕,1.0,Instagram,1
Che colori 🔥😍,1.0,Instagram,3
Luoghi affascinanti  e pieni di mistero. Almeno io li avverto così ❤️,1.0,Instagram,12
Quanta bellezza 😊,1.0,Instagram,3
Ahlan 😍😍,1.0,Instagram,2
Looking beautiful as always 🌹,2.0,Instagram,5
It's so cute 😍😍😍,1.0,Instagram,4
😍😍,1.0,Instagram,1
Absolutely dope! 💙,1.0,Instagram,3
Ah I want to go here so much more now! 😍 beautiful capture!,1.0,Instagram,13
Then they tell me why I like sunsets so much!,1.0,Instagram,10
اشي فخم😍😍😍😍😍 ابداع و الف مبروك العماد😍,1.0,Instagram,7
Welcome to Jordan 😍🔥❤️,1.0,Instagram,4
prachtige foto,1.0,Instagram,2
السوسنة السوداء 🇯🇴❤️,2.0,Instagram,3
Price please for xl size,1.0,Instagram,5
This looks really nice❤️,1.0,Instagram,4
Que placentero!!,2.0,Instagram,2
👏ممنون بابت اطلاعاتتون❤️,2.0,Instagram,3
بی نظیره اینجا🔥🔥🔥🔥🔥🔥,1.0,Instagram,3
😍😍😍😍عجب عکسی🔥🔥,1.0,Instagram,2
ای خدااااا,1.0,Instagram,2
Dude!!!,1.0,Instagram,1
Mi tío metiendo mano como debe de ser que la gloria sea para Dios,1.0,Instagram,14
Great habibty. Miss you a lot,1.0,Instagram,6
@kittaba see you there 😍😍😍😍,1.0,Instagram,5
❤️❤️,1.0,Instagram,1
ما شاء الله 🔥🔥,1.0,Instagram,4
رهيب,1.0,Instagram,1
"Yo go girls!! Girl power!!! Tell me what you want? What you really, really want",2.0,Instagram,15
❤️❤️❤️❤️❤️❤️❤️❤️,1.0,Instagram,1
Wonderful portrait 👏👏👏,1.0,Instagram,3
❤️,1.0,Instagram,1
It look nice 👍,1.0,Instagram,4
😍🔥❤️,1.0,Instagram,1
Cool,1.0,Instagram,1
❤️❤️,1.0,Instagram,1
العيد وجهك و الفايزين عيوني عسانا نعوده بضحكتك غانمين🫶,1.0,Instagram,9
رووعة مجد ماشاء الله عنك❤️❤️,1.0,Instagram,5
Incredibly well written. ❤️ 🇵🇸,1.0,Instagram,5
🙌🏿🙌🏽🙌🏼,1.0,Instagram,1
ابداع 😍👏👏,1.0,Instagram,2
